,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,2001-05-21,7.885475672989446,7.885475672989446,7.885475672989446,7.794786710821538,7.982649061858329,-0.00231068940089017,-0.00231068940089017,-0.00231068940089017,-0.00231068940089017,-0.00231068940089017,-0.00231068940089017,-0.0001136588074237061,-0.0001136588074237061,-0.0001136588074237061,-0.0021970305934664635,-0.0021970305934664635,-0.0021970305934664635,7.883164983588556
1,2001-05-22,7.884887573380341,7.884887573380341,7.884887573380341,7.7844135050311944,7.973876373123769,-0.002523555113049709,-0.002523555113049709,-0.002523555113049709,-0.002523555113049709,-0.002523555113049709,-0.002523555113049709,0.0009224418911156798,0.0009224418911156798,0.0009224418911156798,-0.0034459970041653895,-0.0034459970041653895,-0.0034459970041653895,7.882364018267292
2,2001-05-23,7.884299473771235,7.884299473771235,7.884299473771235,7.786982672997462,7.979125522462044,-0.004100755475085641,-0.004100755475085641,-0.004100755475085641,-0.004100755475085641,-0.004100755475085641,-0.004100755475085641,0.0005485510369333103,0.0005485510369333103,0.0005485510369333103,-0.00464930651201895,-0.00464930651201895,-0.00464930651201895,7.88019871829615
3,2001-05-24,7.8837113741621305,7.8837113741621305,7.8837113741621305,7.780688842136487,7.979972195468772,-0.005866133746544461,-0.005866133746544461,-0.005866133746544461,-0.005866133746544461,-0.005866133746544461,-0.005866133746544461,-6.9884187992421e-05,-6.9884187992421e-05,-6.9884187992421e-05,-0.005796249558552039,-0.005796249558552039,-0.005796249558552039,7.877845240415586
4,2001-05-25,7.883123274553026,7.883123274553026,7.883123274553026,7.784824551406579,7.971355568374914,-0.007322192618095906,-0.007322192618095906,-0.007322192618095906,-0.007322192618095906,-0.007322192618095906,-0.007322192618095906,-0.0004449136354730283,-0.0004449136354730283,-0.0004449136354730283,-0.006877278982622876,-0.006877278982622876,-0.006877278982622876,7.87580108193493
5,2001-05-26,7.8825351749439205,7.882535174943921,7.882535174943921,7.781315519508705,7.962062391113926,-0.008200413910289093,-0.008200413910289093,-0.008200413910289093,-0.008200413910289093,-0.008200413910289093,-0.008200413910289093,-0.00031622584573886143,-0.00031622584573886143,-0.00031622584573886143,-0.00788418806455023,-0.00788418806455023,-0.00788418806455023,7.874334761033632
6,2001-05-27,7.881947075334815,7.881947075334815,7.881947075334815,7.780486863695914,7.964871323282922,-0.00933656810098296,-0.00933656810098296,-0.00933656810098296,-0.00933656810098296,-0.00933656810098296,-0.00933656810098296,-0.0005263104514212563,-0.0005263104514212563,-0.0005263104514212563,-0.008810257649561705,-0.008810257649561705,-0.008810257649561705,7.872610507233832
7,2001-05-28,7.8813589757257105,7.8813589757257105,7.8813589757257105,7.779423940252164,7.967268694901099,-0.009764027444270358,-0.009764027444270358,-0.009764027444270358,-0.009764027444270358,-0.009764027444270358,-0.009764027444270358,-0.00011365880742472632,-0.00011365880742472632,-0.00011365880742472632,-0.009650368636845631,-0.009650368636845631,-0.009650368636845631,7.87159494828144
8,2001-05-29,7.880770876116605,7.880770876116605,7.880770876116605,7.776898395972844,7.966057298776945,-0.0094786350917017,-0.0094786350917017,-0.0094786350917017,-0.0094786350917017,-0.0094786350917017,-0.0094786350917017,0.0009224418911149064,0.0009224418911149064,0.0009224418911149064,-0.010401076982816605,-0.010401076982816605,-0.010401076982816605,7.8712922410249035
9,2001-05-30,7.8801827765075005,7.8801827765075005,7.8801827765075005,7.779021577369402,7.961784024456087,-0.010512098272576714,-0.010512098272576714,-0.010512098272576714,-0.010512098272576714,-0.010512098272576714,-0.010512098272576714,0.0005485510369327662,0.0005485510369327662,0.0005485510369327662,-0.01106064930950948,-0.01106064930950948,-0.01106064930950948,7.8696706782349235
10,2001-05-31,7.879594676898394,7.879594676898394,7.879594676898394,7.77064825031957,7.9657620784222765,-0.011698942394256588,-0.011698942394256588,-0.011698942394256588,-0.011698942394256588,-0.011698942394256588,-0.011698942394256588,-6.988418799279376e-05,-6.988418799279376e-05,-6.988418799279376e-05,-0.011629058206263792,-0.011629058206263792,-0.011629058206263792,7.867895734504137
11,2001-06-01,7.87900657728929,7.87900657728929,7.87900657728929,7.766060773690538,7.959345305753226,-0.01255285097375322,-0.01255285097375322,-0.01255285097375322,-0.01255285097375322,-0.01255285097375322,-0.01255285097375322,-0.00044491363547311273,-0.00044491363547311273,-0.00044491363547311273,-0.012107937338280106,-0.012107937338280106,-0.012107937338280106,7.8664537263155365
12,2001-06-02,7.878418477680185,7.878418477680185,7.878418477680185,7.769597051318599,7.959903602419179,-0.01281672334759628,-0.01281672334759628,-0.01281672334759628,-0.01281672334759628,-0.01281672334759628,-0.01281672334759628,-0.00031622584573915596,-0.00031622584573915596,-0.00031622584573915596,-0.012500497501857123,-0.012500497501857123,-0.012500497501857123,7.865601754332589
13,2001-06-03,7.87783037807108,7.87783037807108,7.87783037807108,7.771639620639346,7.972335439102819,-0.013337716216749437,-0.013337716216749437,-0.013337716216749437,-0.013337716216749437,-0.013337716216749437,-0.013337716216749437,-0.0005263104514210776,-0.0005263104514210776,-0.0005263104514210776,-0.01281140576532836,-0.01281140576532836,-0.01281140576532836,7.86449266185433
