,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,2001-05-21,8.132629789585993,8.132629789585993,8.132629789585993,8.129613641501555,8.135220505457026,-0.00017824221563242962,-0.00017824221563242962,-0.00017824221563242962,-0.00017824221563242962,-0.00017824221563242962,-0.00017824221563242962,6.081039988573653e-06,6.081039988573653e-06,6.081039988573653e-06,-0.00018432325562100325,-0.00018432325562100325,-0.00018432325562100325,8.13245154737036
1,2001-05-22,8.132630986407511,8.132630986407511,8.132630986407511,8.129944735061336,8.135313428601256,-0.000193187330597968,-0.000193187330597968,-0.000193187330597968,-0.000193187330597968,-0.000193187330597968,-0.000193187330597968,4.065764638254548e-06,4.065764638254548e-06,4.065764638254548e-06,-0.00019725309523622254,-0.00019725309523622254,-0.00019725309523622254,8.132437799076913
2,2001-05-23,8.132632183229028,8.132632183229028,8.132632183229028,8.129535299767964,8.135056238074291,-0.00020592213928802996,-0.00020592213928802996,-0.00020592213928802996,-0.00020592213928802996,-0.00020592213928802996,-0.00020592213928802996,1.7694112266428144e-06,1.7694112266428144e-06,1.7694112266428144e-06,-0.00020769155051467278,-0.00020769155051467278,-0.00020769155051467278,8.132426261089739
3,2001-05-24,8.132633380050546,8.132633380050546,8.132633380050546,8.12981596200266,8.135270968892607,-0.00021564178190276164,-0.00021564178190276164,-0.00021564178190276164,-0.00021564178190276164,-0.00021564178190276164,-0.00021564178190276164,-1.4349986635171044e-07,-1.4349986635171044e-07,-1.4349986635171044e-07,-0.0002154982820364099,-0.0002154982820364099,-0.0002154982820364099,8.132417738268643
4,2001-05-25,8.132634576872064,8.132634576872064,8.132634576872064,8.12972418832789,8.135239440685169,-0.00022258175236252226,-0.00022258175236252226,-0.00022258175236252226,-0.00022258175236252226,-0.00022258175236252226,-0.00022258175236252226,-2.04619400349252e-06,-2.04619400349252e-06,-2.04619400349252e-06,-0.00022053555835902972,-0.00022053555835902972,-0.00022053555835902972,8.132411995119702
5,2001-05-26,8.132635773693583,8.132635773693583,8.132635773693583,8.129546167657997,8.135217846180225,-0.00022660109435985947,-0.00022660109435985947,-0.00022660109435985947,-0.00022660109435985947,-0.00022660109435985947,-0.00022660109435985947,-3.931020296790419e-06,-3.931020296790419e-06,-3.931020296790419e-06,-0.00022267007406306905,-0.00022267007406306905,-0.00022267007406306905,8.132409172599223
6,2001-05-27,8.1326369705151,8.1326369705151,8.1326369705151,8.129647848969409,8.135141818569315,-0.0002275705169225215,-0.0002275705169225215,-0.0002275705169225215,-0.0002275705169225215,-0.0002275705169225215,-0.0002275705169225215,-5.795501686828372e-06,-5.795501686828372e-06,-5.795501686828372e-06,-0.00022177501523569312,-0.00022177501523569312,-0.00022177501523569312,8.132409399998176
7,2001-05-28,8.132638167336617,8.132638167336617,8.132638167336617,8.129714344093555,8.135184530150847,-0.0002116512879039679,-0.0002116512879039679,-0.0002116512879039679,-0.0002116512879039679,-0.0002116512879039679,-0.0002116512879039679,6.081039988566196e-06,6.081039988566196e-06,6.081039988566196e-06,-0.0002177323278925341,-0.0002177323278925341,-0.0002177323278925341,8.132426516048714
8,2001-05-29,8.132639364158136,8.132639364158136,8.132639364158136,8.129716304675537,8.135240647353976,-0.00020636937083181017,-0.00020636937083181017,-0.00020636937083181017,-0.00020636937083181017,-0.00020636937083181017,-0.00020636937083181017,4.06576463825643e-06,4.06576463825643e-06,4.06576463825643e-06,-0.0002104351354700666,-0.0002104351354700666,-0.0002104351354700666,8.132432994787305
9,2001-05-30,8.132640560979652,8.132640560979652,8.132640560979652,8.12957046929974,8.135265823278251,-0.0001980208322000414,-0.0001980208322000414,-0.0001980208322000414,-0.0001980208322000414,-0.0001980208322000414,-0.0001980208322000414,1.7694112266436752e-06,1.7694112266436752e-06,1.7694112266436752e-06,-0.00019979024342668504,-0.00019979024342668504,-0.00019979024342668504,8.132442540147453
10,2001-05-31,8.13264175780117,8.13264175780117,8.13264175780117,8.129616253144254,8.135430074878904,-0.00018586416233296727,-0.00018586416233296727,-0.00018586416233296727,-0.00018586416233296727,-0.00018586416233296727,-0.00018586416233296727,-1.434998663552602e-07,-1.434998663552602e-07,-1.434998663552602e-07,-0.00018572066246661203,-0.00018572066246661203,-0.00018572066246661203,8.132455893638838
