,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,2001-05-21,5.689858899077684,5.689858899077684,5.689858899077684,5.685283673748261,5.694204545212804,-9.194926407792428e-05,-9.194926407792428e-05,-9.194926407792428e-05,-9.194926407792428e-05,-9.194926407792428e-05,-9.194926407792428e-05,-4.147789389385693e-07,-4.147789389385693e-07,-4.147789389385693e-07,-9.15344851389857e-05,-9.15344851389857e-05,-9.15344851389857e-05,5.689766949813606
1,2001-05-22,5.689799486507141,5.689799486507141,5.689799486507141,5.685389934194795,5.69385059652899,-0.00016727502180973648,-0.00016727502180973648,-0.00016727502180973648,-0.00016727502180973648,-0.00016727502180973648,-0.00016727502180973648,-5.961275137000038e-07,-5.961275137000038e-07,-5.961275137000038e-07,-0.0001666788942960365,-0.0001666788942960365,-0.0001666788942960365,5.689632211485331
2,2001-05-23,5.689740073936597,5.689740073936596,5.689740073936596,5.685165286643028,5.6935270447545,-0.0002383174715381941,-0.0002383174715381941,-0.0002383174715381941,-0.0002383174715381941,-0.0002383174715381941,-0.0002383174715381941,-4.1578351850812864e-07,-4.1578351850812864e-07,-4.1578351850812864e-07,-0.00023790168801968598,-0.00023790168801968598,-0.00023790168801968598,5.6895017564650585
3,2001-05-24,5.6896806613660535,5.689680661366053,5.689680661366053,5.68524372983114,5.6937775947813325,-0.00030416922612933246,-0.00030416922612933246,-0.00030416922612933246,-0.00030416922612933246,-0.00030416922612933246,-0.00030416922612933246,6.433184559736324e-07,6.433184559736324e-07,6.433184559736324e-07,-0.00030481254458530606,-0.00030481254458530606,-0.00030481254458530606,5.689376492139925
4,2001-05-25,5.689621248795509,5.689621248795509,5.689621248795509,5.685126882341808,5.693471459993563,-0.00036658188609915634,-0.00036658188609915634,-0.00036658188609915634,-0.00036658188609915634,-0.00036658188609915634,-0.00036658188609915634,4.6573424606928986e-07,4.6573424606928986e-07,4.6573424606928986e-07,-0.0003670476203452256,-0.0003670476203452256,-0.0003670476203452256,5.68925466690941
5,2001-05-26,5.689561836224966,5.689561836224966,5.689561836224966,5.684544986434505,5.6932966633817745,-0.0004241495864799671,-0.0004241495864799671,-0.0004241495864799671,-0.0004241495864799671,-0.0004241495864799671,-0.0004241495864799671,1.232013968736034e-07,1.232013968736034e-07,1.232013968736034e-07,-0.0004242727878768406,-0.0004242727878768406,-0.0004242727878768406,5.689137686638486
6,2001-05-27,5.689502423654422,5.689502423654422,5.689502423654422,5.6847752431184855,5.693084471240485,-0.00047599222312049154,-0.00047599222312049154,-0.00047599222312049154,-0.00047599222312049154,-0.00047599222312049154,-0.00047599222312049154,1.944358722300066e-07,1.944358722300066e-07,1.944358722300066e-07,-0.0004761866589927216,-0.0004761866589927216,-0.0004761866589927216,5.6890264314313015
7,2001-05-28,5.6894430110838785,5.6894430110838785,5.6894430110838785,5.684725694182985,5.693093556483534,-0.0005229381254896507,-0.0005229381254896507,-0.0005229381254896507,-0.0005229381254896507,-0.0005229381254896507,-0.0005229381254896507,-4.1477893893762653e-07,-4.1477893893762653e-07,-4.1477893893762653e-07,-0.000522523346550713,-0.000522523346550713,-0.000522523346550713,5.688920072958389
8,2001-05-29,5.689383598513334,5.689383598513334,5.689383598513334,5.6845491382844,5.692949167164404,-0.0005636510487633883,-0.0005636510487633883,-0.0005636510487633883,-0.0005636510487633883,-0.0005636510487633883,-0.0005636510487633883,-5.961275136999007e-07,-5.961275136999007e-07,-5.961275136999007e-07,-0.0005630549212496883,-0.0005630549212496883,-0.0005630549212496883,5.688819947464571
9,2001-05-30,5.689324185942791,5.689324185942791,5.689324185942791,5.684311553758844,5.693343724726269,-0.0005980093062911534,-0.0005980093062911534,-0.0005980093062911534,-0.0005980093062911534,-0.0005980093062911534,-0.0005980093062911534,-4.1578351850758135e-07,-4.1578351850758135e-07,-4.1578351850758135e-07,-0.0005975935227726458,-0.0005975935227726458,-0.0005975935227726458,5.6887261766365
10,2001-05-31,5.689264773372247,5.689264773372247,5.689264773372247,5.684360608499437,5.69303423454992,-0.0006253497702518109,-0.0006253497702518109,-0.0006253497702518109,-0.0006253497702518109,-0.0006253497702518109,-0.0006253497702518109,6.433184559742059e-07,6.433184559742059e-07,6.433184559742059e-07,-0.0006259930887077851,-0.0006259930887077851,-0.0006259930887077851,5.688639423601995
11,2001-06-01,5.6892053608017035,5.6892053608017035,5.6892053608017035,5.684447468656613,5.693010823766761,-0.0006476849353358868,-0.0006476849353358868,-0.0006476849353358868,-0.0006476849353358868,-0.0006476849353358868,-0.0006476849353358868,4.6573424606869763e-07,4.6573424606869763e-07,4.6573424606869763e-07,-0.0006481506695819555,-0.0006481506695819555,-0.0006481506695819555,5.688557675866368
12,2001-06-02,5.689145948231159,5.689145948231159,5.689145948231159,5.6843876129779005,5.692679739465106,-0.0006638841026141919,-0.0006638841026141919,-0.0006638841026141919,-0.0006638841026141919,-0.0006638841026141919,-0.0006638841026141919,1.2320139687322794e-07,1.2320139687322794e-07,1.2320139687322794e-07,-0.0006640073040110651,-0.0006640073040110651,-0.0006640073040110651,5.688482064128545
13,2001-06-03,5.689086535660616,5.689086535660616,5.689086535660616,5.68401289956059,5.692841240068045,-0.0006733539984348847,-0.0006733539984348847,-0.0006733539984348847,-0.0006733539984348847,-0.0006733539984348847,-0.0006733539984348847,1.9443587223034084e-07,1.9443587223034084e-07,1.9443587223034084e-07,-0.0006735484343071151,-0.0006735484343071151,-0.0006735484343071151,5.688413181662181
14,2001-06-04,5.689027123090072,5.689027123090072,5.689027123090072,5.684087421024719,5.6923763908401135,-0.0006772186287136384,-0.0006772186287136384,-0.0006772186287136384,-0.0006772186287136384,-0.0006772186287136384,-0.0006772186287136384,-4.147789389382019e-07,-4.147789389382019e-07,-4.147789389382019e-07,-0.0006768038497747002,-0.0006768038497747002,-0.0006768038497747002,5.688349904461358
15,2001-06-05,5.688967710519528,5.688967710519528,5.688967710519528,5.684341034325491,5.692446793554066,-0.0006744432797578289,-0.0006744432797578289,-0.0006744432797578289,-0.0006744432797578289,-0.0006744432797578289,-0.0006744432797578289,-5.961275136999569e-07,-5.961275136999569e-07,-5.961275136999569e-07,-0.0006738471522441291,-0.0006738471522441291,-0.0006738471522441291,5.688293267239771
16,2001-06-06,5.688908297948984,5.688908297948984,5.688908297948984,5.683818521489722,5.692455938101023,-0.000665210529508333,-0.000665210529508333,-0.000665210529508333,-0.000665210529508333,-0.000665210529508333,-0.000665210529508333,-4.157835185068052e-07,-4.157835185068052e-07,-4.157835185068052e-07,-0.0006647947459898261,-0.0006647947459898261,-0.0006647947459898261,5.688243087419476
17,2001-06-07,5.688848885378441,5.688848885378441,5.688848885378441,5.683842265091784,5.692977367916469,-0.0006491610434585607,-0.0006491610434585607,-0.0006491610434585607,-0.0006491610434585607,-0.0006491610434585607,-0.0006491610434585607,6.433184559734152e-07,6.433184559734152e-07,6.433184559734152e-07,-0.0006498043619145342,-0.0006498043619145342,-0.0006498043619145342,5.688199724334982
18,2001-06-08,5.688789472807897,5.688789472807897,5.688789472807897,5.684008284103229,5.692512085644688,-0.0006286073993388926,-0.0006286073993388926,-0.0006286073993388926,-0.0006286073993388926,-0.0006286073993388926,-0.0006286073993388926,4.657342460694629e-07,4.657342460694629e-07,4.657342460694629e-07,-0.0006290731335849621,-0.0006290731335849621,-0.0006290731335849621,5.688160865408558
19,2001-06-09,5.688730060237353,5.688730060237353,5.688730060237353,5.683882612172884,5.692452953448562,-0.0006027120488243287,-0.0006027120488243287,-0.0006027120488243287,-0.0006027120488243287,-0.0006027120488243287,-0.0006027120488243287,1.2320139687319073e-07,1.2320139687319073e-07,1.2320139687319073e-07,-0.0006028352502212019,-0.0006028352502212019,-0.0006028352502212019,5.688127348188529
20,2001-06-10,5.688670647666809,5.688670647666809,5.688670647666809,5.683688605038913,5.692506179737061,-0.0005711647830414898,-0.0005711647830414898,-0.0005711647830414898,-0.0005711647830414898,-0.0005711647830414898,-0.0005711647830414898,1.9443587223047409e-07,1.9443587223047409e-07,1.9443587223047409e-07,-0.0005713592189137204,-0.0005713592189137204,-0.0005713592189137204,5.688099482883768
21,2001-06-11,5.688611235096266,5.688611235096266,5.688611235096266,5.684013867773534,5.692383107306769,-0.0005353595539454128,-0.0005353595539454128,-0.0005353595539454128,-0.0005353595539454128,-0.0005353595539454128,-0.0005353595539454128,-4.147789389387773e-07,-4.147789389387773e-07,-4.147789389387773e-07,-0.000534944775006474,-0.000534944775006474,-0.000534944775006474,5.688075875542321
22,2001-06-12,5.688551822525722,5.688551822525721,5.688551822525721,5.683840732163239,5.692196639951011,-0.0004945156131179895,-0.0004945156131179895,-0.0004945156131179895,-0.0004945156131179895,-0.0004945156131179895,-0.0004945156131179895,-5.96127513700013e-07,-5.96127513700013e-07,-5.96127513700013e-07,-0.0004939194856042896,-0.0004939194856042896,-0.0004939194856042896,5.6880573069126035
23,2001-06-13,5.688492409955178,5.6884924099551775,5.6884924099551775,5.6841332514878555,5.692109772547736,-0.00044905087991129253,-0.00044905087991129253,-0.00044905087991129253,-0.00044905087991129253,-0.00044905087991129253,-0.00044905087991129253,-4.157835185062578e-07,-4.157835185062578e-07,-4.157835185062578e-07,-0.0004486350963927862,-0.0004486350963927862,-0.0004486350963927862,5.688043359075267
24,2001-06-14,5.688432997384635,5.688432997384634,5.688432997384634,5.683818433700018,5.692566222502844,-0.00039882035783674014,-0.00039882035783674014,-0.00039882035783674014,-0.00039882035783674014,-0.00039882035783674014,-0.00039882035783674014,6.433184559734854e-07,6.433184559734854e-07,6.433184559734854e-07,-0.0003994636762927137,-0.0003994636762927137,-0.0003994636762927137,5.688034177026799
25,2001-06-15,5.688373584814091,5.688373584814091,5.688373584814091,5.6838519221029316,5.692168474744237,-0.00034632788354948006,-0.00034632788354948006,-0.00034632788354948006,-0.00034632788354948006,-0.00034632788354948006,-0.00034632788354948006,4.657342460688706e-07,4.657342460688706e-07,4.657342460688706e-07,-0.0003467936177955489,-0.0003467936177955489,-0.0003467936177955489,5.688027256930542
26,2001-06-16,5.6883141722435475,5.6883141722435475,5.6883141722435475,5.683670732828032,5.692195518292182,-0.00029090235167771744,-0.00029090235167771744,-0.00029090235167771744,-0.00029090235167771744,-0.00029090235167771744,-0.00029090235167771744,1.2320139687337003e-07,1.2320139687337003e-07,1.2320139687337003e-07,-0.00029102555307459083,-0.00029102555307459083,-0.00029102555307459083,5.68802326989187
27,2001-06-17,5.688254759673003,5.688254759673003,5.688254759673003,5.684154416310397,5.69224747668253,-0.0002323738111984268,-0.0002323738111984268,-0.0002323738111984268,-0.0002323738111984268,-0.0002323738111984268,-0.0002323738111984268,1.9443587223015433e-07,1.9443587223015433e-07,1.9443587223015433e-07,-0.00023256824707065698,-0.00023256824707065698,-0.00023256824707065698,5.688022385861805
28,2001-06-18,5.68819534710246,5.68819534710246,5.68819534710246,5.6834958105461615,5.692277860144214,-0.00017224930763128164,-0.00017224930763128164,-0.00017224930763128164,-0.00017224930763128164,-0.00017224930763128164,-0.00017224930763128164,-4.1477893893909127e-07,-4.1477893893909127e-07,-4.1477893893909127e-07,-0.00017183452869234253,-0.00017183452869234253,-0.00017183452869234253,5.6880230977948285
29,2001-06-19,5.688135934531917,5.688135934531917,5.688135934531917,5.683819674554637,5.692337472433996,-0.00010983344754636725,-0.00010983344754636725,-0.00010983344754636725,-0.00010983344754636725,-0.00010983344754636725,-0.00010983344754636725,-5.9612751369991e-07,-5.9612751369991e-07,-5.9612751369991e-07,-0.00010923732003266733,-0.00010923732003266733,-0.00010923732003266733,5.68802610108437
30,2001-06-20,5.6880765219613725,5.6880765219613725,5.6880765219613725,5.683953074576455,5.692206011999415,-4.5601604633149015e-05,-4.5601604633149015e-05,-4.5601604633149015e-05,-4.5601604633149015e-05,-4.5601604633149015e-05,-4.5601604633149015e-05,-4.1578351850733217e-07,-4.1578351850733217e-07,-4.1578351850733217e-07,-4.518582111464168e-05,-4.518582111464168e-05,-4.518582111464168e-05,5.68803092035674
31,2001-06-21,5.688017109390829,5.688017109390829,5.688017109390829,5.683608488973761,5.6923000939820065,2.0561414273929304e-05,2.0561414273929304e-05,2.0561414273929304e-05,2.0561414273929304e-05,2.0561414273929304e-05,2.0561414273929304e-05,6.433184559736286e-07,6.433184559736286e-07,6.433184559736286e-07,1.9918095817955676e-05,1.9918095817955676e-05,1.9918095817955676e-05,5.6880376708051035
32,2001-06-22,5.687957696820285,5.687957696820285,5.687957696820285,5.684011078681233,5.692071365670733,8.614896723013704e-05,8.614896723013704e-05,8.614896723013704e-05,8.614896723013704e-05,8.614896723013704e-05,8.614896723013704e-05,4.657342460688251e-07,4.657342460688251e-07,4.657342460688251e-07,8.568323298406822e-05,8.568323298406822e-05,8.568323298406822e-05,5.688043845787515
33,2001-06-23,5.687898284249742,5.687898284249742,5.687898284249742,5.683660324755738,5.692337156960278,0.00015185531211143774,0.00015185531211143774,0.00015185531211143774,0.00015185531211143774,0.00015185531211143774,0.00015185531211143774,1.2320139687299477e-07,1.2320139687299477e-07,1.2320139687299477e-07,0.0001517321107145647,0.0001517321107145647,0.0001517321107145647,5.688050139561853
34,2001-06-24,5.687838871679197,5.687838871679197,5.687838871679197,5.6841985384461,5.692316881249192,0.00021789810623322275,0.00021789810623322275,0.00021789810623322275,0.00021789810623322275,0.00021789810623322275,0.00021789810623322275,1.9443587223068963e-07,1.9443587223068963e-07,1.9443587223068963e-07,0.00021770367036099208,0.00021770367036099208,0.00021770367036099208,5.6880567697854305
35,2001-06-25,5.687779459108654,5.687779459108654,5.687779459108654,5.684126654596037,5.69228707725385,0.00028284082681082496,0.00028284082681082496,0.00028284082681082496,0.00028284082681082496,0.00028284082681082496,0.00028284082681082496,-4.1477893893840983e-07,-4.1477893893840983e-07,-4.1477893893840983e-07,0.00028325560574976334,0.00028325560574976334,0.00028325560574976334,5.688062299935465
36,2001-06-26,5.68772004653811,5.68772004653811,5.68772004653811,5.683663000400825,5.69242086886357,0.0003474701724862715,0.0003474701724862715,0.0003474701724862715,0.0003474701724862715,0.0003474701724862715,0.0003474701724862715,-5.96127513699966e-07,-5.96127513699966e-07,-5.96127513699966e-07,0.00034806629999997144,0.00034806629999997144,0.00034806629999997144,5.688067516710596
37,2001-06-27,5.687660633967567,5.687660633967567,5.687660633967567,5.683863528658009,5.692439706513459,0.0004114205689209486,0.0004114205689209486,0.0004114205689209486,0.0004114205689209486,0.0004114205689209486,0.0004114205689209486,-4.15783518506556e-07,-4.15783518506556e-07,-4.15783518506556e-07,0.00041183635243945523,0.00041183635243945523,0.00041183635243945523,5.688072054536487
38,2001-06-28,5.687601221397022,5.687601221397022,5.687601221397022,5.683483014882545,5.692428640707201,0.0004749330069317752,0.0004749330069317752,0.0004749330069317752,0.0004749330069317752,0.0004749330069317752,0.0004749330069317752,6.433184559737718e-07,6.433184559737718e-07,6.433184559737718e-07,0.00047428968847580135,0.00047428968847580135,0.00047428968847580135,5.688076154403954
39,2001-06-29,5.687541808826479,5.687541808826479,5.687541808826479,5.684032306146898,5.692188446206518,0.0005356399876854062,0.0005356399876854062,0.0005356399876854062,0.0005356399876854062,0.0005356399876854062,0.0005356399876854062,4.6573424606877937e-07,4.6573424606877937e-07,4.6573424606877937e-07,0.0005351742534393375,0.0005351742534393375,0.0005351742534393375,5.688077448814164
40,2001-06-30,5.687482396255935,5.687482396255935,5.687482396255935,5.68395412503358,5.691999261826978,0.0005943855008331653,0.0005943855008331653,0.0005943855008331653,0.0005943855008331653,0.0005943855008331653,0.0005943855008331653,1.232013968735123e-07,1.232013968735123e-07,1.232013968735123e-07,0.0005942622994362919,0.0005942622994362919,0.0005942622994362919,5.688076781756768
41,2001-07-01,5.687422983685392,5.687422983685392,5.687422983685392,5.68381543663864,5.692083988650384,0.000651544717834258,0.000651544717834258,0.000651544717834258,0.000651544717834258,0.000651544717834258,0.000651544717834258,1.944358722303699e-07,1.944358722303699e-07,1.944358722303699e-07,0.0006513502819620277,0.0006513502819620277,0.0006513502819620277,5.6880745284032255
42,2001-07-02,5.687363571114847,5.687363571114847,5.687363571114847,5.683862751275302,5.692693891827661,0.0007058436113245561,0.0007058436113245561,0.0007058436113245561,0.0007058436113245561,0.0007058436113245561,0.0007058436113245561,-4.1477893893846245e-07,-4.1477893893846245e-07,-4.1477893893846245e-07,0.0007062583902634946,0.0007062583902634946,0.0007062583902634946,5.688069414726172
43,2001-07-03,5.687304158544304,5.687304158544304,5.687304158544304,5.683828171653531,5.692042413959672,0.0007582336145388456,0.0007582336145388456,0.0007582336145388456,0.0007582336145388456,0.0007582336145388456,0.0007582336145388456,-5.961275137000403e-07,-5.961275137000403e-07,-5.961275137000403e-07,0.0007588297420525456,0.0007588297420525456,0.0007588297420525456,5.688062392158843
44,2001-07-04,5.68724474597376,5.687244745973761,5.687244745973761,5.683696207492186,5.692728757184535,0.0008085134955125069,0.0008085134955125069,0.0008085134955125069,0.0008085134955125069,0.0008085134955125069,0.0008085134955125069,-4.157835185060086e-07,-4.157835185060086e-07,-4.157835185060086e-07,0.0008089292790310128,0.0008089292790310128,0.0008089292790310128,5.688053259469273
45,2001-07-05,5.6871853334032165,5.687185333403217,5.687185333403217,5.683549290932055,5.691830939359999,0.0008570857231156775,0.0008570857231156775,0.0008570857231156775,0.0008570857231156775,0.0008570857231156775,0.0008570857231156775,6.433184559734114e-07,6.433184559734114e-07,6.433184559734114e-07,0.0008564424046597041,0.0008564424046597041,0.0008564424046597041,5.688042419126332
46,2001-07-06,5.687125920832672,5.687125920832672,5.687125920832672,5.684104325093095,5.6924209631756355,0.000901739143850599,0.000901739143850599,0.000901739143850599,0.000901739143850599,0.000901739143850599,0.000901739143850599,4.6573424606899816e-07,4.6573424606899816e-07,4.6573424606899816e-07,0.0009012734096045299,0.0009012734096045299,0.0009012734096045299,5.688027659976523
47,2001-07-07,5.687066508262129,5.687066508262129,5.687066508262129,5.6836705232534666,5.692028819693681,0.0009434669346368545,0.0009434669346368545,0.0009434669346368545,0.0009434669346368545,0.0009434669346368545,0.0009434669346368545,1.2320139687313686e-07,1.2320139687313686e-07,1.2320139687313686e-07,0.0009433437332399815,0.0009433437332399815,0.0009433437332399815,5.688009975196766
48,2001-07-08,5.687007095691585,5.687007095691585,5.687007095691585,5.683882601331069,5.69224045646113,0.000982784547307787,0.000982784547307787,0.000982784547307787,0.000982784547307787,0.000982784547307787,0.000982784547307787,1.9443587223050312e-07,1.9443587223050312e-07,1.9443587223050312e-07,0.0009825901114355563,0.0009825901114355563,0.0009825901114355563,5.687989880238892
49,2001-07-09,5.6869476831210415,5.6869476831210415,5.6869476831210415,5.683648097709828,5.692206637481423,0.0010185478826293113,0.0010185478826293113,0.0010185478826293113,0.0010185478826293113,0.0010185478826293113,0.0010185478826293113,-4.1477893893903774e-07,-4.1477893893903774e-07,-4.1477893893903774e-07,0.0010189626615682505,0.0010189626615682505,0.0010189626615682505,5.687966231003671
50,2001-07-10,5.686888270550497,5.686888270550497,5.686888270550497,5.6839022916710364,5.692250805561284,0.001051826827780265,0.001051826827780265,0.001051826827780265,0.001051826827780265,0.001051826827780265,0.001051826827780265,-5.961275137000967e-07,-5.961275137000967e-07,-5.961275137000967e-07,0.0010524229552939651,0.0010524229552939651,0.0010524229552939651,5.687940097378277
51,2001-07-11,5.686828857979954,5.686828857979954,5.686828857979954,5.683620667028047,5.6923163432414,0.0010825263445850305,0.0010825263445850305,0.0010825263445850305,0.0010825263445850305,0.0010825263445850305,0.0010825263445850305,-4.1578351850893343e-07,-4.1578351850893343e-07,-4.1578351850893343e-07,0.0010829421281035394,0.0010829421281035394,0.0010829421281035394,5.687911384324539
52,2001-07-12,5.68676944540941,5.68676944540941,5.68676944540941,5.683648735490302,5.692118822780547,0.001111142390580864,0.001111142390580864,0.001111142390580864,0.001111142390580864,0.001111142390580864,0.001111142390580864,6.433184559735547e-07,6.433184559735547e-07,6.433184559735547e-07,0.0011104990721248905,0.0011104990721248905,0.0011104990721248905,5.687880587799991
53,2001-07-13,5.6867100328388664,5.6867100328388664,5.6867100328388664,5.683606350331264,5.6922550541780295,0.001135544489342496,0.001135544489342496,0.001135544489342496,0.001135544489342496,0.001135544489342496,0.001135544489342496,4.657342460689526e-07,4.657342460689526e-07,4.657342460689526e-07,0.0011350787550964273,0.0011350787550964273,0.0011350787550964273,5.687845577328209
