,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,2001-05-21,-1.6191704200801909,-1.6191704200801906,-1.6191704200801906,-2.2426115784782956,-0.49639519709748176,0.3036553783109772,0.3036553783109772,0.3036553783109772,0.3036553783109772,0.3036553783109772,0.3036553783109772,-0.022058965887354554,-0.022058965887354554,-0.022058965887354554,0.32571434419833173,0.32571434419833173,0.32571434419833173,-1.3155150417692136
1,2001-05-22,-1.6161596754256675,-1.6161596754256675,-1.6161596754256675,-2.198511873753031,-0.45820421181894505,0.33661594711145704,0.33661594711145704,0.33661594711145704,0.33661594711145704,0.33661594711145704,0.33661594711145704,0.0020259537529227502,0.0020259537529227502,0.0020259537529227502,0.33458999335853423,0.33458999335853423,0.33458999335853423,-1.2795437283142106
2,2001-05-23,-1.6131489307711442,-1.6131489307711442,-1.6131489307711442,-2.11774320677986,-0.38226674369431746,0.34971940762293385,0.34971940762293385,0.34971940762293385,0.34971940762293385,0.34971940762293385,0.34971940762293385,0.007997163144720373,0.007997163144720373,0.007997163144720373,0.3417222444782135,0.3417222444782135,0.3417222444782135,-1.2634295231482104
3,2001-05-24,-1.6101381861166209,-1.6101381861166209,-1.6101381861166209,-2.1175166646854215,-0.38834743297947755,0.3440329129853135,0.3440329129853135,0.3440329129853135,0.3440329129853135,0.3440329129853135,0.3440329129853135,-0.0030458980896613704,-0.0030458980896613704,-0.0030458980896613704,0.34707881107497485,0.34707881107497485,0.34707881107497485,-1.2661052731313074
4,2001-05-25,-1.6071274414620973,-1.6071274414620973,-1.6071274414620973,-2.124048140984401,-0.3517320212911932,0.3582051564572448,0.3582051564572448,0.3582051564572448,0.3582051564572448,0.3582051564572448,0.3582051564572448,0.007550867847743198,0.007550867847743198,0.007550867847743198,0.35065428860950165,0.35065428860950165,0.35065428860950165,-1.2489222850048525
5,2001-05-26,-1.6041166968075737,-1.6041166968075737,-1.6041166968075737,-2.0774887086330875,-0.4144652411322568,0.35681432572691235,0.35681432572691235,0.35681432572691235,0.35681432572691235,0.35681432572691235,0.35681432572691235,0.00434394695859809,0.00434394695859809,0.00434394695859809,0.3524703787683143,0.3524703787683143,0.3524703787683143,-1.2473023710806614
6,2001-05-27,-1.6011059521530506,-1.6011059521530506,-1.6011059521530506,-2.1076186916701123,-0.3838902515723567,0.3557625882762441,0.3557625882762441,0.3557625882762441,0.3557625882762441,0.3557625882762441,0.3557625882762441,0.003186932273002908,0.003186932273002908,0.003186932273002908,0.3525756560032411,0.3525756560032411,0.3525756560032411,-1.2453433638768066
7,2001-05-28,-1.598095207498527,-1.598095207498527,-1.598095207498527,-2.1378347176397803,-0.39539339398169604,0.32898590048422266,0.32898590048422266,0.32898590048422266,0.32898590048422266,0.32898590048422266,0.32898590048422266,-0.022058965887365344,-0.022058965887365344,-0.022058965887365344,0.35104486637158805,0.35104486637158805,0.35104486637158805,-1.2691093070143045
8,2001-05-29,-1.5950844628440037,-1.5950844628440037,-1.5950844628440037,-2.122438910650496,-0.3758395393440583,0.35000371066976926,0.35000371066976926,0.35000371066976926,0.35000371066976926,0.35000371066976926,0.35000371066976926,0.0020259537529089084,0.0020259537529089084,0.0020259537529089084,0.34797775691686034,0.34797775691686034,0.34797775691686034,-1.2450807521742344
9,2001-05-30,-1.5920737181894804,-1.5920737181894804,-1.5920737181894804,-2.0940246587098494,-0.2994302526046952,0.3514946055880999,0.3514946055880999,0.3514946055880999,0.3514946055880999,0.3514946055880999,0.3514946055880999,0.007997163144704396,0.007997163144704396,0.007997163144704396,0.34349744244339553,0.34349744244339553,0.34349744244339553,-1.2405791126013805
10,2001-05-31,-1.589062973534957,-1.589062973534957,-1.589062973534957,-2.151066974910637,-0.3072174966971934,0.33470242731839384,0.33470242731839384,0.33470242731839384,0.33470242731839384,0.33470242731839384,0.33470242731839384,-0.0030458980896541366,-0.0030458980896541366,-0.0030458980896541366,0.33774832540804794,0.33774832540804794,0.33774832540804794,-1.2543605462165632
11,2001-06-01,-1.5860522288804335,-1.5860522288804335,-1.5860522288804335,-2.2207507686069867,-0.38581904014915397,0.3384444614499338,0.3384444614499338,0.3384444614499338,0.3384444614499338,0.3384444614499338,0.3384444614499338,0.0075508678477426965,0.0075508678477426965,0.0075508678477426965,0.33089359360219117,0.33089359360219117,0.33089359360219117,-1.2476077674304997
12,2001-06-02,-1.5830414842259102,-1.5830414842259102,-1.5830414842259102,-2.1408046977347377,-0.36227424586267565,0.3274562761019295,0.3274562761019295,0.3274562761019295,0.3274562761019295,0.3274562761019295,0.3274562761019295,0.004343946958593346,0.004343946958593346,0.004343946958593346,0.32311232914333615,0.32311232914333615,0.32311232914333615,-1.2555852081239807
13,2001-06-03,-1.5800307395713868,-1.580030739571387,-1.580030739571387,-2.267984512743804,-0.43375728369317496,0.317783203115072,0.317783203115072,0.317783203115072,0.317783203115072,0.317783203115072,0.317783203115072,0.003186932273029388,0.003186932273029388,0.003186932273029388,0.3145962708420426,0.3145962708420426,0.3145962708420426,-1.2622475364563148
14,2001-06-04,-1.5770199949168635,-1.5770199949168635,-1.5770199949168635,-2.2013194558423157,-0.4356065809307982,0.2834873141756093,0.2834873141756093,0.2834873141756093,0.2834873141756093,0.2834873141756093,0.2834873141756093,-0.022058965887357136,-0.022058965887357136,-0.022058965887357136,0.30554628006296647,0.30554628006296647,0.30554628006296647,-1.2935326807412542
15,2001-06-05,-1.57400925026234,-1.57400925026234,-1.57400925026234,-2.181352246948137,-0.464981688790099,0.29819452131586116,0.29819452131586116,0.29819452131586116,0.29819452131586116,0.29819452131586116,0.29819452131586116,0.002025953752913637,0.002025953752913637,0.002025953752913637,0.29616856756294757,0.29616856756294757,0.29616856756294757,-1.2758147289464787
16,2001-06-06,-1.5709985056078168,-1.5709985056078168,-1.5709985056078168,-2.1710943007614363,-0.36735392867367717,0.2946679084247607,0.2946679084247607,0.2946679084247607,0.2946679084247607,0.2946679084247607,0.2946679084247607,0.007997163144713592,0.007997163144713592,0.007997163144713592,0.28667074528004705,0.28667074528004705,0.28667074528004705,-1.276330597183056
