,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,seasonal,seasonal_lower,seasonal_upper,seasonalities,seasonalities_lower,seasonalities_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat
0,2007-10-11,6.993324076838611,6.993324076838611,6.993324076838611,6.880519614473657,6.973163582880874,-0.0690935481646588,-0.0690935481646588,-0.0690935481646588,-0.0690935481646588,-0.0690935481646588,-0.0690935481646588,-0.00011135371642368039,-0.00011135371642368039,-0.00011135371642368039,-0.06898219444823513,-0.06898219444823513,-0.06898219444823513,6.924230528673952
1,2007-10-12,6.992706890542808,6.992706890542808,6.992706890542808,6.8776821300860815,6.970221607888829,-0.07059555832532363,-0.07059555832532363,-0.07059555832532363,-0.07059555832532363,-0.07059555832532363,-0.07059555832532363,-0.00013291740773775334,-0.00013291740773775334,-0.00013291740773775334,-0.07046264091758589,-0.07046264091758589,-0.07046264091758589,6.922111332217484
2,2007-10-13,6.992089704247005,6.992089704247005,6.992089704247005,6.876944883050712,6.963244543194686,-0.07193159008582979,-0.07193159008582979,-0.07193159008582979,-0.07193159008582979,-0.07193159008582979,-0.07193159008582979,-7.032671200462657e-05,-7.032671200462657e-05,-7.032671200462657e-05,-0.07186126337382517,-0.07186126337382517,-0.07186126337382517,6.9201581141611745
3,2007-10-14,6.991472517951201,6.991472517951201,6.991472517951201,6.871659186569919,6.965771240799165,-0.07314294882746514,-0.07314294882746514,-0.07314294882746514,-0.07314294882746514,-0.07314294882746514,-0.07314294882746514,2.7240814423161733e-05,2.7240814423161733e-05,2.7240814423161733e-05,-0.0731701896418883,-0.0731701896418883,-0.0731701896418883,6.918329569123736
4,2007-10-15,6.990855331655395,6.990855331655395,6.990855331655395,6.866652772154973,6.960341728159492,-0.0742657234358603,-0.0742657234358603,-0.0742657234358603,-0.0742657234358603,-0.0742657234358603,-0.0742657234358603,0.00011693502887598054,0.00011693502887598054,0.00011693502887598054,-0.07438265846473628,-0.07438265846473628,-0.07438265846473628,6.916589608219535
5,2007-10-16,6.990238145359592,6.990238145359592,6.990238145359592,6.869415112387965,6.960192526595645,-0.07536074998709835,-0.07536074998709835,-0.07536074998709835,-0.07536074998709835,-0.07536074998709835,-0.07536074998709835,0.00013238832763900462,0.00013238832763900462,0.00013238832763900462,-0.07549313831473735,-0.07549313831473735,-0.07549313831473735,6.914877395372494
6,2007-10-17,6.989620959063789,6.989620959063789,6.989620959063789,6.8680598049764585,6.959154128556616,-0.07645938902341913,-0.07645938902341913,-0.07645938902341913,-0.07645938902341913,-0.07645938902341913,-0.07645938902341913,3.8033665227813915e-05,3.8033665227813915e-05,3.8033665227813915e-05,-0.07649742268864695,-0.07649742268864695,-0.07649742268864695,6.913161570040369
7,2007-10-18,6.989003772767985,6.989003772767985,6.989003772767985,6.868346597551524,6.958827243099879,-0.07750405343650282,-0.07750405343650282,-0.07750405343650282,-0.07750405343650282,-0.07750405343650282,-0.07750405343650282,-0.0001113537164235507,-0.0001113537164235507,-0.0001113537164235507,-0.07739269972007928,-0.07739269972007928,-0.07739269972007928,6.911499719331482
8,2007-10-19,6.988386586472181,6.988386586472181,6.988386586472181,6.864507238890336,6.954452296831264,-0.07831051192305337,-0.07831051192305337,-0.07831051192305337,-0.07831051192305337,-0.07831051192305337,-0.07831051192305337,-0.00013291740773780115,-0.00013291740773780115,-0.00013291740773780115,-0.0781775945153156,-0.0781775945153156,-0.0781775945153156,6.910076074549128
9,2007-10-20,6.9877694001763775,6.9877694001763775,6.9877694001763775,6.86213883273039,6.951074187577091,-0.07892250994244931,-0.07892250994244931,-0.07892250994244931,-0.07892250994244931,-0.07892250994244931,-0.07892250994244931,-7.032671200455147e-05,-7.032671200455147e-05,-7.032671200455147e-05,-0.07885218323044475,-0.07885218323044475,-0.07885218323044475,6.908846890233928
10,2007-10-21,6.987152213880573,6.987152213880573,6.987152213880573,6.862830857121741,6.952038932837138,-0.07939073773061922,-0.07939073773061922,-0.07939073773061922,-0.07939073773061922,-0.07939073773061922,-0.07939073773061922,2.7240814423222594e-05,2.7240814423222594e-05,2.7240814423222594e-05,-0.07941797854504244,-0.07941797854504244,-0.07941797854504244,6.907761476149954
11,2007-10-22,6.986535027584769,6.986535027584769,6.986535027584769,6.857790237859271,6.9530773721635635,-0.07976095180556081,-0.07976095180556081,-0.07976095180556081,-0.07976095180556081,-0.07976095180556081,-0.07976095180556081,0.00011693502887604091,0.00011693502887604091,0.00011693502887604091,-0.07987788683443686,-0.07987788683443686,-0.07987788683443686,6.906774075779208
12,2007-10-23,6.985917841288965,6.985917841288965,6.985917841288965,6.861116171055345,6.951423432498393,-0.08010374965536227,-0.08010374965536227,-0.08010374965536227,-0.08010374965536227,-0.08010374965536227,-0.08010374965536227,0.00013238832763896828,0.00013238832763896828,0.00013238832763896828,-0.08023613798300125,-0.08023613798300125,-0.08023613798300125,6.905814091633603
13,2007-10-24,6.9853006549931616,6.9853006549931616,6.9853006549931616,6.858573514372196,6.949155086797079,-0.08046015573401404,-0.08046015573401404,-0.08046015573401404,-0.08046015573401404,-0.08046015573401404,-0.08046015573401404,3.8033665228009295e-05,3.8033665228009295e-05,3.8033665228009295e-05,-0.08049818939924204,-0.08049818939924204,-0.08049818939924204,6.904840499259148
