2.000 0.04461 0.04379 0.03801 0.03061 0.02382 0.01681 -0.05805 -0.05444 -0.08393 0.30360 -0.04327 -0.07176
2.050 0.04219 0.05175 0.04260 0.03668 0.02864 0.02164 -0.05766 -0.04692 -0.08331 0.32099 -0.04808 -0.05298
2.100 0.04310 0.04226 0.04046 0.02849 0.03075 0.02608 -0.05902 -0.04723 -0.08393 0.30099 -0.03510 -0.04714
2.150 0.04370 0.04348 0.03893 0.03395 0.02502 0.01681 -0.05612 -0.05053 -0.08117 0.30620 -0.04520 -0.04589
2.200 0.04644 0.04562 0.03402 0.03425 0.02774 0.02029 -0.05476 -0.05023 -0.08301 0.30881 -0.04423 -0.05048
2.250 0.04279 0.04685 0.03985 0.02970 0.02352 0.01874 -0.05805 -0.04963 -0.08148 0.30620 -0.05048 -0.06008
2.300 0.04492 0.04685 0.03678 0.03092 0.02834 0.01565 -0.05747 -0.05023 -0.08362 0.31055 -0.05193 -0.05757
2.350 0.04401 0.04991 0.04291 0.02910 0.02352 0.01758 -0.05805 -0.05174 -0.08393 0.31751 -0.06347 -0.05507
2.400 0.04826 0.04930 0.04076 0.03031 0.01869 0.01758 -0.05824 -0.04933 -0.09189 0.31664 -0.06250 -0.05257
2.450 0.04765 0.04715 0.04168 0.03001 0.02472 0.01662 -0.05728 -0.04903 -0.08546 0.31664 -0.06779 -0.05424
2.500 0.05008 0.04654 0.04291 0.02667 0.02231 0.01739 -0.05476 -0.04903 -0.08301 0.31664 -0.07837 -0.05298
2.550 0.04522 0.05144 0.04567 0.02879 0.02080 0.01642 -0.05689 -0.04993 -0.07994 0.32534 -0.07308 -0.05257
2.600 0.05190 0.05114 0.04475 0.03152 0.02261 0.01681 -0.05979 -0.04903 -0.07719 0.31664 -0.07116 -0.04172
2.650 0.05068 0.04960 0.04414 0.02879 0.02080 0.01179 -0.05650 -0.05023 -0.08730 0.31577 -0.07116 -0.04840
2.700 0.05038 0.05726 0.04843 0.02819 0.01930 0.01507 -0.05592 -0.04873 -0.08025 0.30968 -0.07452 -0.04673
2.750 0.05220 0.05512 0.04506 0.02607 0.01960 0.01623 -0.05263 -0.04933 -0.07719 0.30968 -0.07933 -0.04673
2.800 0.04856 0.05175 0.04475 0.02607 0.02080 0.01449 -0.05766 -0.04933 -0.07657 0.30533 -0.07404 -0.05465
2.850 0.05220 0.04807 0.04628 0.02607 0.01930 0.01275 -0.05437 -0.04813 -0.07964 0.31229 -0.07885 -0.06049
2.900 0.05584 0.05450 0.04659 0.02334 0.01990 0.01217 -0.05573 -0.04903 -0.08362 0.30794 -0.08077 -0.06008
2.950 0.05008 0.05267 0.04598 0.02698 0.01899 0.01063 -0.05573 -0.05084 -0.07811 0.31490 -0.08077 -0.05215
3.000 0.05099 0.05297 0.04935 0.02152 0.01839 0.01179 -0.05553 -0.04121 -0.07719 0.30186 -0.07789 -0.07051
3.050 0.05554 0.04471 0.04260 0.02273 0.01508 0.01121 -0.05495 -0.04783 -0.07749 0.30012 -0.08847 -0.06300
3.100 0.05311 0.05297 0.04781 0.02516 0.01417 0.01410 -0.05476 -0.04873 -0.07566 0.30620 -0.08510 -0.06300
3.150 0.05372 0.04930 0.04873 0.01970 0.01417 0.01198 -0.05824 -0.04963 -0.07811 0.31055 -0.09231 -0.07051
3.200 0.04977 0.05328 0.04475 0.01879 0.01477 0.00831 -0.05824 -0.05023 -0.07535 0.29577 -0.08991 -0.07426
3.250 0.05190 0.05083 0.04751 0.02091 0.01598 0.01236 -0.05495 -0.04301 -0.07474 0.30968 -0.09328 -0.05966
3.300 0.05038 0.05297 0.04751 0.02304 0.01387 0.00792 -0.05147 -0.04723 -0.07627 0.30360 -0.09231 -0.05883
3.350 0.05281 0.05481 0.03954 0.02061 0.01206 0.01159 -0.05515 -0.04723 -0.07412 0.30707 -0.09664 -0.05048
3.400 0.05402 0.05297 0.04720 0.02000 0.01477 0.01410 -0.05437 -0.04542 -0.07259 0.30099 -0.09279 -0.04673
3.450 0.05311 0.05603 0.05057 0.02273 0.01688 0.01101 -0.05728 -0.04332 -0.08086 0.30446 -0.08751 -0.04005
3.500 0.05736 0.05267 0.05425 0.02758 0.01598 0.01294 -0.05495 -0.04602 -0.07596 0.30360 -0.08366 -0.04756
3.550 0.05342 0.05848 0.04506 0.02425 0.01749 0.00734 -0.05147 -0.04933 -0.07443 0.30186 -0.08751 -0.04422
3.600 0.05068 0.05420 0.04475 0.02243 0.01598 0.01005 -0.05437 -0.04632 -0.07259 0.27054 -0.08510 -0.04172
3.650 0.05342 0.05144 0.04628 0.02425 0.01688 0.01121 -0.05205 -0.04512 -0.06984 0.29490 -0.08991 -0.04422
3.700 0.05251 0.04869 0.04322 0.02304 0.01688 0.01410 -0.05360 -0.04723 -0.07290 0.28968 -0.08318 -0.05674
3.750 0.05220 0.04991 0.04230 0.02667 0.02201 0.00889 -0.05592 -0.04452 -0.06984 0.29142 -0.09087 -0.05465
3.800 0.04704 0.05144 0.04628 0.01970 0.01598 0.01121 -0.05534 -0.04753 -0.07412 0.29142 -0.08462 -0.06008
3.850 0.05068 0.05052 0.04260 0.02273 0.01357 0.01391 -0.05341 -0.04602 -0.07167 0.28707 -0.08895 -0.06091
3.900 0.04795 0.04838 0.03770 0.02698 0.01538 0.01179 -0.05476 -0.05174 -0.07014 0.29403 -0.07308 -0.05465
3.950 0.04644 0.04746 0.03372 0.02394 0.01899 0.01488 -0.05728 -0.05114 -0.07106 0.29142 -0.07645 -0.07718
4.000 0.04249 0.04011 0.03739 0.02273 0.01839 0.01217 -0.05747 -0.05655 -0.07106 0.29316 -0.06683 -0.06842
4.050 0.04219 0.04777 0.04965 0.02304 0.01628 0.01140 -0.05476 -0.04723 -0.07076 0.28707 -0.07068 -0.06717
4.100 0.04310 0.04134 0.03463 0.02364 0.02261 0.01333 -0.05341 -0.04301 -0.07412 0.29316 -0.05818 -0.06049
4.150 0.04097 0.04072 0.03739 0.02576 0.01809 0.01604 -0.05399 -0.05023 -0.07504 0.28098 -0.06010 -0.05590
4.200 0.03794 0.04532 0.03770 0.02789 0.01899 0.01739 -0.05283 -0.04542 -0.06861 0.28794 -0.05577 -0.04631
4.250 0.04461 0.04134 0.03525 0.03031 0.02322 0.01874 -0.05070 -0.04512 -0.06830 0.28185 -0.05577 -0.04255
4.300 0.03794 0.04195 0.03494 0.02607 0.02563 0.02029 -0.05321 -0.04362 -0.06555 0.28185 -0.04568 -0.04339
4.350 0.03642 0.04317 0.03801 0.02516 0.02442 0.01777 -0.05341 -0.04482 -0.06402 0.28011 -0.05481 -0.03922
4.400 0.04219 0.04501 0.03555 0.03758 0.02472 0.02067 -0.05128 -0.04362 -0.06953 0.27489 -0.05241 -0.03588
4.450 0.03490 0.03981 0.03402 0.03213 0.02382 0.01565 -0.05108 -0.04963 -0.07106 0.28185 -0.05433 -0.05424
4.500 0.04037 0.04134 0.03157 0.02637 0.02774 0.02183 -0.05457 -0.04452 -0.07014 0.28446 -0.05289 -0.04422
4.550 0.03794 0.03889 0.03494 0.02910 0.02322 0.01584 -0.05166 -0.04512 -0.06922 0.28185 -0.05914 -0.04631
