NO_OF_FRAMES	14180
NO_OF_CAMERAS	2
NO_OF_BODIES	1
FREQUENCY	20
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-05-13, 11:12:26	4529.38133216
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
 X	 Y	 Z	 Roll	 Pitch	 Yaw	 Residual	 Rot[0]	 Rot[1]	 Rot[2]	 Rot[3]	 Rot[4]	 Rot[5]	 Rot[6]	 Rot[7]	 Rot[8]
85.67987	160.86945	-174.09131	-1.75174	-0.83249	-4.18073	2.38494	0.99723	-0.07243	0.01671	0.07290	0.99691	-0.02943	-0.01453	0.03057	0.99943	
85.29611	160.67580	-173.23810	-1.61843	-0.80826	-4.18489	2.38672	0.99723	-0.07255	0.01612	0.07297	0.99696	-0.02714	-0.01411	0.02824	0.99950	
85.20624	161.31046	-172.98868	-1.43384	-0.80928	-4.15592	2.39564	0.99727	-0.07210	0.01590	0.07246	0.99708	-0.02393	-0.01412	0.02502	0.99959	
85.34058	160.14444	-172.40186	-1.42354	-0.82932	-4.15150	1.20014	0.99727	-0.07201	0.01623	0.07239	0.99709	-0.02373	-0.01447	0.02484	0.99959	
85.12213	160.84613	-172.58362	-1.32641	-0.80179	-4.12131	1.63352	0.99732	-0.07153	0.01562	0.07186	0.99717	-0.02208	-0.01399	0.02315	0.99963	
85.20798	162.53819	-172.70837	-1.18448	-0.80815	-4.09960	1.90887	0.99734	-0.07118	0.01554	0.07148	0.99725	-0.01961	-0.01410	0.02067	0.99969	
85.04587	162.82318	-173.00092	-1.19289	-0.79901	-4.11973	2.18602	0.99732	-0.07154	0.01540	0.07183	0.99722	-0.01976	-0.01394	0.02082	0.99969	
84.51379	163.41843	-173.86432	-1.20835	-0.74507	-4.13243	2.38021	0.99732	-0.07177	0.01449	0.07206	0.99720	-0.02010	-0.01300	0.02109	0.99969	
84.52823	164.47192	-174.33405	-1.22265	-0.75085	-4.15281	2.34699	0.99729	-0.07212	0.01461	0.07241	0.99717	-0.02033	-0.01310	0.02134	0.99969	
84.37506	165.34781	-175.09988	-1.23939	-0.74088	-4.17180	2.34120	0.99727	-0.07245	0.01447	0.07274	0.99714	-0.02063	-0.01293	0.02163	0.99968	
84.61331	164.42896	-175.66888	-1.45156	-0.77683	-4.23217	2.42057	0.99718	-0.07343	0.01539	0.07379	0.99698	-0.02426	-0.01356	0.02533	0.99959	
84.09439	163.48880	-176.52646	-1.81985	-0.69527	-4.11347	2.39858	0.99735	-0.07131	0.01438	0.07173	0.99695	-0.03081	-0.01213	0.03175	0.99942	
83.88239	164.42099	-177.34683	-1.85537	-0.69062	-4.12641	2.39373	0.99734	-0.07153	0.01435	0.07195	0.99691	-0.03143	-0.01205	0.03237	0.99940	
83.80649	163.64316	-177.57236	-2.03692	-0.69504	-4.16262	2.45591	0.99729	-0.07211	0.01467	0.07258	0.99676	-0.03457	-0.01213	0.03554	0.99929	
