NO_OF_FRAMES	392
NO_OF_CAMERAS	2
NO_OF_BODIES	1
FREQUENCY	20
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2018-05-13, 11:12:26	4529.38133216
DATA_INCLUDED	6D
BODY_NAMES	New Body #1
 X	 Y	 Z	 Roll	 Pitch	 Yaw	 Residual	 Rot[0]	 Rot[1]	 Rot[2]	 Rot[3]	 Rot[4]	 Rot[5]	 Rot[6]	 Rot[7]	 Rot[8]
106.72787	144.12082	-175.85065	-1.58772	-0.70578	-0.84496	2.28226	0.99982	-0.01440	0.01272	0.01475	0.99951	-0.02752	-0.01232	0.02771	0.99954	
106.70377	143.91916	-176.14041	-1.55513	-0.68146	-0.82982	2.23974	0.99982	-0.01415	0.01228	0.01448	0.99953	-0.02696	-0.01189	0.02714	0.99956	
106.80984	143.61969	-176.47290	-1.55977	-0.66821	-0.79139	2.27589	0.99984	-0.01349	0.01203	0.01381	0.99954	-0.02706	-0.01166	0.02722	0.99956	
107.34555	143.03683	-176.38757	-1.57071	-0.69408	-0.79673	2.33121	0.99983	-0.01357	0.01249	0.01390	0.99953	-0.02724	-0.01211	0.02741	0.99955	
107.60385	143.06995	-176.18448	-1.49206	-0.70994	-0.85302	2.23062	0.99981	-0.01456	0.01277	0.01489	0.99955	-0.02585	-0.01239	0.02604	0.99958	
107.50186	143.47440	-176.79205	-1.44665	-0.67165	-0.85654	2.26593	0.99982	-0.01465	0.01209	0.01495	0.99957	-0.02507	-0.01172	0.02524	0.99961	
107.97824	142.62167	-176.34372	-1.48088	-0.71577	-0.89411	2.23781	0.99980	-0.01528	0.01289	0.01560	0.99955	-0.02565	-0.01249	0.02584	0.99959	
107.97913	142.05273	-176.48880	-1.54558	-0.69867	-0.86981	2.26619	0.99981	-0.01485	0.01260	0.01518	0.99953	-0.02678	-0.01219	0.02697	0.99956	
108.35718	142.03902	-176.54218	-1.57355	-0.74448	-0.88435	2.28006	0.99980	-0.01507	0.01341	0.01543	0.99951	-0.02726	-0.01299	0.02746	0.99954	
107.72287	142.05151	-176.89893	-1.57145	-0.67105	-0.94258	2.21531	0.99980	-0.01612	0.01216	0.01645	0.99949	-0.02723	-0.01171	0.02742	0.99956	
107.78604	142.64215	-176.83688	-1.58704	-0.68075	-0.95445	2.24130	0.99979	-0.01632	0.01234	0.01666	0.99948	-0.02749	-0.01188	0.02769	0.99955	
107.90063	140.83630	-176.72202	-1.79564	-0.70858	-0.99819	2.34251	0.99977	-0.01702	0.01290	0.01742	0.99936	-0.03111	-0.01237	0.03133	0.99943	
107.79041	142.43845	-176.75790	-1.67258	-0.70182	-0.98503	2.22151	0.99978	-0.01683	0.01274	0.01719	0.99943	-0.02897	-0.01225	0.02919	0.99950	
107.30560	142.47073	-177.40085	-1.71472	-0.65352	-0.98574	2.25471	0.99979	-0.01685	0.01191	0.01720	0.99941	-0.02972	-0.01141	0.02992	0.99949	
108.01727	142.67892	-176.65750	-1.75019	-0.73565	-0.96249	2.33989	0.99978	-0.01640	0.01334	0.01680	0.99940	-0.03032	-0.01284	0.03054	0.99945	
107.90100	142.40063	-176.48557	-1.73882	-0.73129	-1.00024	2.20070	0.99977	-0.01706	0.01328	0.01746	0.99939	-0.03012	-0.01276	0.03034	0.99946	
107.84433	141.69217	-176.40793	-1.90545	-0.71390	-0.87800	2.35692	0.99980	-0.01490	0.01296	0.01532	0.99934	-0.03306	-0.01246	0.03325	0.99937	
108.27118	143.10794	-176.22302	-1.65134	-0.76747	-0.90574	2.21779	0.99979	-0.01542	0.01384	0.01581	0.99947	-0.02860	-0.01339	0.02881	0.99950	
107.67603	142.94412	-176.38232	-1.64489	-0.69689	-0.89205	2.24605	0.99980	-0.01521	0.01260	0.01557	0.99947	-0.02851	-0.01216	0.02870	0.99951	
107.81650	143.02621	-176.07977	-1.59455	-0.71341	-0.85879	2.25020	0.99981	-0.01464	0.01286	0.01499	0.99951	-0.02764	-0.01245	0.02782	0.99954	
108.38153	142.73927	-175.30099	-1.55767	-0.77295	-0.85661	2.27016	0.99980	-0.01458	0.01389	0.01495	0.99952	-0.02698	-0.01349	0.02718	0.99954	
107.84027	143.46460	-175.49100	-1.47304	-0.71014	-0.79984	2.25250	0.99983	-0.01364	0.01275	0.01396	0.99958	-0.02553	-0.01239	0.02570	0.99959	
108.15170	142.91428	-175.02042	-1.43925	-0.75448	-0.80167	2.27160	0.99982	-0.01366	0.01351	0.01399	0.99959	-0.02493	-0.01317	0.02511	0.99960	
107.80276	143.53659	-175.01404	-1.32101	-0.71096	-0.76856	2.29384	0.99983	-0.01312	0.01271	0.01341	0.99965	-0.02289	-0.01241	0.02305	0.99966	
108.25198	143.53781	-174.60684	-1.29426	-0.77736	-0.78523	2.19994	0.99981	-0.01339	0.01387	0.01370	0.99966	-0.02240	-0.01357	0.02259	0.99965	
107.91718	143.64957	-174.75345	-1.23927	-0.76073	-0.82971	2.20251	0.99981	-0.01419	0.01359	0.01448	0.99967	-0.02143	-0.01328	0.02163	0.99968	
107.74789	142.93701	-175.01193	-1.29005	-0.74313	-0.84873	2.23371	0.99981	-0.01452	0.01330	0.01481	0.99964	-0.02232	-0.01297	0.02251	0.99966	
107.95154	142.72455	-175.04355	-1.32476	-0.76936	-0.86030	2.20653	0.99980	-0.01470	0.01377	0.01501	0.99962	-0.02292	-0.01343	0.02312	0.99964	
107.91675	139.75261	-175.08847	-1.74531	-0.77081	-0.80942	2.35321	0.99981	-0.01371	0.01388	0.01413	0.99944	-0.03026	-0.01345	0.03045	0.99945	
107.33719	140.62244	-175.67725	-1.72304	-0.70713	-0.82592	2.30692	0.99982	-0.01404	0.01277	0.01441	0.99945	-0.02989	-0.01234	0.03007	0.99947	
107.09305	142.19791	-176.30173	-1.52319	-0.68800	-0.94774	2.21842	0.99979	-0.01622	0.01244	0.01654	0.99952	-0.02638	-0.01201	0.02658	0.99957	
106.52701	142.12805	-177.06216	-1.58052	-0.64409	-0.94500	2.28563	0.99980	-0.01618	0.01169	0.01649	0.99949	-0.02739	-0.01124	0.02758	0.99956	
106.68100	142.23386	-177.10068	-1.63819	-0.66646	-0.95729	2.31406	0.99979	-0.01637	0.01210	0.01671	0.99946	-0.02839	-0.01163	0.02859	0.99952	
106.80212	142.13611	-176.44604	-1.66837	-0.69512	-0.97149	2.21875	0.99978	-0.01659	0.01262	0.01695	0.99944	-0.02890	-0.01213	0.02911	0.99950	
106.46286	142.07590	-176.57166	-1.69501	-0.68949	-0.96917	2.23347	0.99978	-0.01655	0.01253	0.01691	0.99943	-0.02937	-0.01203	0.02958	0.99949	
106.38635	142.48593	-176.04071	-1.69331	-0.70240	-0.96916	2.23608	0.99978	-0.01654	0.01275	0.01691	0.99943	-0.02934	-0.01226	0.02955	0.99949	
106.68240	141.77371	-174.94849	-1.77612	-0.76504	-0.91023	2.25504	0.99978	-0.01546	0.01384	0.01588	0.99940	-0.03078	-0.01335	0.03099	0.99943	
106.21030	141.55136	-175.05231	-1.82085	-0.74106	-0.81052	2.33074	0.99982	-0.01373	0.01338	0.01414	0.99940	-0.03159	-0.01293	0.03177	0.99941	
105.67578	141.86292	-174.93814	-1.82581	-0.71058	-0.78337	2.30739	0.99983	-0.01327	0.01283	0.01367	0.99940	-0.03169	-0.01240	0.03186	0.99942	
105.46408	144.19092	-174.70862	-1.37974	-0.74826	-0.95102	2.29608	0.99978	-0.01628	0.01345	0.01660	0.99958	-0.02386	-0.01306	0.02408	0.99962	
105.10950	143.52988	-174.70251	-1.42033	-0.73629	-0.92875	2.26606	0.99979	-0.01589	0.01325	0.01621	0.99957	-0.02458	-0.01285	0.02478	0.99961	
105.08771	143.19879	-174.80237	-1.41353	-0.75087	-0.92156	2.22502	0.99978	-0.01576	0.01350	0.01608	0.99957	-0.02445	-0.01310	0.02467	0.99961	
104.80594	142.58545	-175.16959	-1.45816	-0.70665	-0.87698	2.28160	0.99981	-0.01499	0.01272	0.01530	0.99956	-0.02526	-0.01233	0.02545	0.99960	
104.85092	142.22324	-175.63489	-1.45490	-0.70751	-0.88901	2.28433	0.99980	-0.01520	0.01274	0.01551	0.99956	-0.02520	-0.01235	0.02539	0.99960	
